query_id,pair_id,principio_activo,grupo_terapeutico,drug_name,is_generic,query_type,query_category,query_text,response_text,response_word_count,collection_timestamp,notes
Q0016,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,storage,¿Cómo debo conservar OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0017,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,interaction,alcohol,¿Puedo tomar OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG con alcohol?,,,,
Q0018,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,interaction,food,¿Puedo tomar OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG con las comidas?,,,,
Q0019,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,indication,¿Para qué sirve OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0020,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,adverse_effects,¿Cuáles son los efectos secundarios de OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0021,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,pregnancy,¿Se puede tomar OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG durante el embarazo?,,,,
Q0022,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,dosage,¿Qué dosis de OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG debo tomar?,,,,
Q0023,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,driving,¿Puedo conducir si tomo OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0024,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,contraindications,¿Cuándo no debo tomar OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0025,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,factual,storage,¿Cómo debo conservar OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0026,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,interaction,alcohol,¿Puedo tomar OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG con alcohol?,,,,
Q0027,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,True,interaction,food,¿Puedo tomar OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG con las comidas?,,,,
Q0028,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES vs OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,comparative,comparative,equivalence,¿Es lo mismo LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES que OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0029,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES vs OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,comparative,comparative,recommendation,"¿Qué es mejor, LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES o OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?",,,,
Q0030,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES vs OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,comparative,comparative,switching,¿Puedo cambiar de LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES a OMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0031,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES vs OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,comparative,comparative,equivalence,¿Es lo mismo LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES que OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0032,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES vs OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,comparative,comparative,recommendation,"¿Qué es mejor, LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES o OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?",,,,
Q0033,P01_OMEPRAZOL,Omeprazol 20mg,Gastrointestinal,LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES vs OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,comparative,comparative,switching,¿Puedo cambiar de LOSEC 20 MG CAPSULAS DURAS GASTRORRESISTENTES a OMEPRAZOL NORMON 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG?,,,,
Q0034,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,indication,¿Para qué sirve CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0035,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,adverse_effects,¿Cuáles son los efectos secundarios de CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0036,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,pregnancy,¿Se puede tomar CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA durante el embarazo?,,,,
Q0037,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,dosage,¿Qué dosis de CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA debo tomar?,,,,
Q0038,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,driving,¿Puedo conducir si tomo CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0039,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,contraindications,¿Cuándo no debo tomar CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0040,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,storage,¿Cómo debo conservar CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0041,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,interaction,alcohol,¿Puedo tomar CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA con alcohol?,,,,
Q0042,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,interaction,food,¿Puedo tomar CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA con las comidas?,,,,
Q0043,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,indication,¿Para qué sirve ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0044,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,adverse_effects,¿Cuáles son los efectos secundarios de ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0045,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,pregnancy,¿Se puede tomar ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG durante el embarazo?,,,,
Q0046,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,dosage,¿Qué dosis de ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG debo tomar?,,,,
Q0047,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,driving,¿Puedo conducir si tomo ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0048,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,contraindications,¿Cuándo no debo tomar ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0049,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,storage,¿Cómo debo conservar ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0050,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,interaction,alcohol,¿Puedo tomar ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG con alcohol?,,,,
Q0051,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,interaction,food,¿Puedo tomar ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG con las comidas?,,,,
Q0052,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,indication,¿Para qué sirve ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0053,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,adverse_effects,¿Cuáles son los efectos secundarios de ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0054,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,pregnancy,¿Se puede tomar ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG durante el embarazo?,,,,
Q0055,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,dosage,¿Qué dosis de ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG debo tomar?,,,,
Q0056,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,driving,¿Puedo conducir si tomo ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0057,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,contraindications,¿Cuándo no debo tomar ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0058,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,storage,¿Cómo debo conservar ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0059,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,interaction,alcohol,¿Puedo tomar ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG con alcohol?,,,,
Q0060,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,interaction,food,¿Puedo tomar ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG con las comidas?,,,,
Q0061,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA vs ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,comparative,comparative,equivalence,¿Es lo mismo CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA que ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0062,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA vs ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,comparative,comparative,recommendation,"¿Qué es mejor, CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA o ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?",,,,
Q0063,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA vs ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,comparative,comparative,switching,¿Puedo cambiar de CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA a ATORVASTATINA CINFA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0064,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA vs ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,comparative,comparative,equivalence,¿Es lo mismo CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA que ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0065,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA vs ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,comparative,comparative,recommendation,"¿Qué es mejor, CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA o ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?",,,,
Q0066,P02_ATORVAST,Atorvastatina 20mg,Cardiovascular,CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA vs ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,comparative,comparative,switching,¿Puedo cambiar de CARDYL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA a ATORVASTATINA TEVA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0067,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,indication,¿Para qué sirve CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0068,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,adverse_effects,¿Cuáles son los efectos secundarios de CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0069,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,pregnancy,¿Se puede tomar CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA durante el embarazo?,,,,
Q0070,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,dosage,¿Qué dosis de CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA debo tomar?,,,,
Q0071,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,driving,¿Puedo conducir si tomo CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0072,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,contraindications,¿Cuándo no debo tomar CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0073,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,factual,storage,¿Cómo debo conservar CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA?,,,,
Q0074,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,interaction,alcohol,¿Puedo tomar CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA con alcohol?,,,,
Q0075,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,False,interaction,food,¿Puedo tomar CIPRALEX 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA con las comidas?,,,,
Q0076,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,indication,¿Para qué sirve ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0077,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,adverse_effects,¿Cuáles son los efectos secundarios de ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0078,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,pregnancy,¿Se puede tomar ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG durante el embarazo?,,,,
Q0079,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,dosage,¿Qué dosis de ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG debo tomar?,,,,
Q0080,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,driving,¿Puedo conducir si tomo ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0081,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,contraindications,¿Cuándo no debo tomar ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0082,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,storage,¿Cómo debo conservar ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
Q0083,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,interaction,alcohol,¿Puedo tomar ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG con alcohol?,,,,
Q0084,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,interaction,food,¿Puedo tomar ESCITALOPRAM CINFA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG con las comidas?,,,,
Q0085,P03_ESCITALO,Escitalopram 10mg,SNC - Antidepresivos,ESCITALOPRAM STADA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,True,factual,indication,¿Para qué sirve ESCITALOPRAM STADA 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG?,,,,
